title,artist,track_id
Flowers,Miley Cyrus,NOT_FOUND
Cupid - Twin Ver.,FIFTY FIFTY,NOT_FOUND
BESO,ROSALÍA,NOT_FOUND
Boy's a liar Pt. 2,PinkPantheress,NOT_FOUND
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,NOT_FOUND
Daylight,David Kushner,NOT_FOUND
TQG,KAROL G,NOT_FOUND
Calm Down (with Selena Gomez),Rema,0WtM2NBVQNNJLh6scP13H8
Anti-Hero,Taylor Swift,NOT_FOUND
Here With Me,d4vd,NOT_FOUND
I'm Good (Blue),David Guetta,4uUG5RXrOk84mYEfFvj3cK
Kill Bill,SZA,NOT_FOUND
Die For You - Remix,The Weeknd,NOT_FOUND
I Ain't Worried,OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB
Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap,NOT_FOUND
Starboy,The Weeknd,7MXVkk9YMctZqd1Srtv4MB
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN
Another Love,Tom Odell,7otCGmgp9h4CsR2LhwB6gt
As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b
Me Porto Bonito,Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx
Mockingbird,Eminem,561jH07mF1jHuk7KlaeF0s
Players,Coi Leray,NOT_FOUND
Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr
Escapism.,RAYE,NOT_FOUND
Ojitos Lindos,Bad Bunny,3k3NWokhRRkEPhCzPmV8TW
Search & Rescue,Drake,NOT_FOUND
Sure Thing,Miguel,0JXXNGljqupsJaZsgSbMZV
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6
Unholy (feat. Kim Petras),Sam Smith,3nqQXoyQOWXiESFLlDF1hG
All Of The Girls You Loved Before,Taylor Swift,NOT_FOUND
Dandelions,Ruth B.,2eAvDnpXP5W0cVtiI0PUxV
Ditto,NewJeans,NOT_FOUND
Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx
golden hour,JVKE,5odlY52u43F5BjByhxg7wg
Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f
La Bachata,Manuel Turizo,5ww2BF9slyYgNOk37BlC4u
Last Night,Morgan Wallen,NOT_FOUND
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4
Made You Look,Meghan Trainor,NOT_FOUND
Nonsense,Sabrina Carpenter,NOT_FOUND
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v
Rich Flex,Drake,NOT_FOUND
Tití Me Preguntó,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY
Without Me,Eminem,7lQ8MOhq6IN2w8EYcFNSUk
Yandel 150,Yandel,NOT_FOUND
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg
Call Out My Name,The Weeknd,09mEdoA6zrmBPgTEN5qXmN
Do I Wanna Know?,Arctic Monkeys,5FVd6KXrgO9B3JPmC8OPst
Double Fantasy (with Future),The Weeknd,NOT_FOUND
Eyes Closed,Ed Sheeran,NOT_FOUND
Late Night Talking,Harry Styles,NOT_FOUND
Lavender Haze,Taylor Swift,NOT_FOUND
Never Felt So Alone,Labrinth,NOT_FOUND
Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ
Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf
The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh
Blank Space,Taylor Swift,1p80LdxRV74UKvL8gnD7ky
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb
Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G
Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA
I Love You So,The Walters,1175r6ZmkUjX8dRJLz9Ohk
Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh
Lover,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI
Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO
One Dance,Drake,5ZKG94fnjiuMH5yrC5S9lS
One Kiss (with Dua Lipa),Calvin Harris,7ef4DlsgrMEH11cDZd32M6
Pink + White,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
Shivers,Ed Sheeran,1euRAecw6xEwkt6lPXMbFP
The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB
Viva La Vida,Coldplay,1mea3bSkSGXuIRvnydlB5b
Why'd You Only Call Me When You're High?,Arctic Monkeys,086myS9r57YsLbJpU0TgK9
Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d
Happier Than Ever,Billie Eilish,1SWliBgqzayYYnvmxwbouX
Heartless,Kanye West,4EWCNWgDS8707fNSZ1oaA5
Heaven,Niall Horan,NOT_FOUND
I'm Not The Only One,Sam Smith,7795WJLVKJoAyVoOtCWqXN
In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq
La Jumpa,Arcángel,NOT_FOUND
LET GO,Central Cee,NOT_FOUND
MIDDLE OF THE NIGHT,Elley Duhé,58HvfVOeJY7lUuCqF0m3ly
Mr. Brightside,The Killers,7oK9VyNzrYvRFo7nQEYkWN
Numb,Linkin Park,2nLtzopw4rPReszdYBJU6h
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh
Something Just Like This,The Chainsmokers,6RUKPb4LETWmmr3iAEQktW
Somewhere Only We Know,Keane,0ll8uFnc0nANY35E0Lfxvg
STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn
Style,Taylor Swift,4lIxdJw6W3Fg4vUIYCB0S5
The Nights,Avicii,0ct6r3EGTcMLPtrXHDvVjc
Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT
Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2
Where Are You Now,Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7
All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a
Before You Go,Lewis Capaldi,7ce20yLkzuXXLUhzIDoZih
Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw
Cold Heart - PNAU Remix,Elton John,6JIC3hbC28JZKZ8AlAqX8h
Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62
Daddy Issues,The Neighbourhood,5E30LdtzQTGqRvNd7l6kG5
deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr
Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a
drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ
Fair Trade (with Travis Scott),Drake,40iJIUlhi6renaREYGeIDS
Flashing Lights,Kanye West,2QK4nswjBvmwBXTOLFodDA
FLOWER,JISOO,NOT_FOUND
Glimpse of Us,Joji,6xGruZOHLs39ZbVccQTuPZ
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG
goosebumps,Travis Scott,2SzjMcZIsE2zUWQnccsTAo
Hips Don't Lie (feat. Wyclef Jean),Shakira,NOT_FOUND
HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS
Kill Bill (feat. Doja Cat),SZA,NOT_FOUND
Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d
Lost,Frank Ocean,3GZD6HmiNUhxXYf8Gch723
Love On The Brain,Rihanna,5oO3drDxtziYU2H1X23ZIp
Ni**as In Paris,JAY-Z,NOT_FOUND
Nobody Gets Me,SZA,NOT_FOUND
rockstar (feat. 21 Savage),Post Malone,NOT_FOUND
Running Up That Hill (A Deal With God),Kate Bush,75FEaRjZTKLhTrFGsfMUXR
Set Fire to the Rain,Adele,3CKCZ9pfwAfoMZlMncA1Nc
Seven Nation Army,The White Stripes,3dPQuX8Gs42Y7b454ybpMR
Shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B
